Bus No,Bus Type,Pd (MW),Qd(Mvar),Vm (p.u),Va (p.u),Vmax (p.u),Vmin (p.u)
1,3,0,0,1.06,0,1.06,0.94
2,2,21.7,12.7,1.045,-4.98,1.06,0.94
3,2,94.2,19,1.01,-12.72,1.06,0.94
4,1,47.8,-3.9,1.019,-10.33,1.06,0.94
5,1,7.6,1.6,1.02,-8.78,1.06,0.94
6,1,11.2,7.5,1.07,-14.22,1.06,0.94
7,1,0,0,1.062,-13.37,1.06,0.94
8,1,0,0,1.09,-13.36,1.06,0.94
9,1,29.5,16.6,1.056,-14.94,1.06,0.94
10,1,9,5.8,1.051,-15.1,1.06,0.94
11,1,3.5,1.8,1.057,-14.79,1.06,0.94
12,1,6.1,1.6,1.055,-15.07,1.06,0.94
13,1,13.5,5.8,1.05,-15.16,1.06,0.94
14,1,14.9,5,1.036,-16.04,1.06,0.94
